map_title,state,quadrangle,county
524_19,['wyoming'],"['summit', 'shell lake', 'lake', 'interior', 'johnson', 'horn', 'helen', 'park', 'wyoming', 'solitude', 'rock', 'trail', 'florence lake', 'golden', 'powell', 'may', 'sand', 'silt', 'canyon', 'pinedale', 'black', 'elk', 'dike', 'soldier', 'fine', 'adin', 'bly', 'gray', 'art', 'west', 'mather', 'granite', 'small', 'boundary', 'diorite', 'light', 'sigma', 'mclain', 'barker', 'contact', 'lead', 'narrows', 'blue', 'central', 'back', 'true', 'north lake', 'fred', 'reston', 'millard', 'york', 'bighorn', 'university', 'oxford', 'amsterdam', 'branch', 'federal', 'denver']","['summit', 'lake', 'cloud', 'johnson', 'park', 'wyoming', 'rock', 'powell', 'canyon', 'slope', 'elk', 'gray', 'granite', 'boundary', 'bucks', 'millard', 'york', 'oxford']"
3121_23,"['ohio', 'california', 'washington']","['arroyo', 'levis', 'ohio', 'mendota', 'trail', 'davis', 'elkhorn', 'hondo', 'lane', 'fossil', 'sandy', 'blue', 'sand', 'santa', 'tulare', 'silt', 'gray', 'harlan', 'sands', 'marine', 'white', 'stone', 'derrick', 'whitney', 'panoche', 'light', 'ray', 'coalinga', 'contact', 'fine', 'green', 'dickinson', 'bartow', 'francisco', 'pacific', 'casey', 'california', 'petroleum', 'index', 'best', 'bassett', 'spring', 'line', 'sulphur', 'washington', 'angle', 'interior', 'reston']","['ohio', 'davis', 'lane', 'brown', 'tulare', 'gray', 'harlan', 'white', 'stone', 'ray', 'green', 'dickinson', 'bartow', 'pacific', 'casey', 'petroleum', 'washington']"
1266_64,"['colorado', 'arizona', 'california', 'nevada']","['vidal', 'line', 'trail', 'park', 'parker', 'atchison', 'junction', 'topeka', 'santa', 'street', 'needles', 'holly', 'grommet', 'gould', 'yuma', 'colo', 'drain', 'fisher', 'sand', 'blythe', 'riverside', 'day', 'west', 'separ', 'may', 'limestone', 'granite', 'rock', 'gray', 'boundary', 'marble', 'stewart', 'california', 'wilson', 'silt', 'orange', 'desert', 'rapid', 'lowe', 'light', 'dolomite', 'ness', 'jean', 'valley', 'miles', 'range', 'lake', 'carbonate', 'stone', 'cliff', 'white', 'nevada', 'rice', 'sandy', 'fine', 'plateau', 'max', 'prospect', 'hall', 'poston', 'valle', 'index', 'mesquite', 'early', 'dull', 'mountain', 'hamilton', 'gypsum', 'lorado', 'patrick', 'dickey', 'moon', 'carr', 'bouse', 'mounds', 'altitude', 'plain', 'contact', 'low', 'angle', 'proctor', 'bishop', 'back', 'west river', 'clay', 'fossil', 'block', 'wing', 'axial', 'true', 'reston', 'young', 'tuff', 'black', 'small', 'marvin', 'lava', 'sills', 'denver', 'branch', 'center', 'edison', 'federal', 'ina', 'parker sw', 'interior']","['park', 'parker', 'atchison', 'yuma', 'fisher', 'mohave', 'riverside', 'colorado', 'day', 'limestone', 'granite', 'rock', 'gray', 'boundary', 'brown', 'stewart', 'wilson', 'orange', 'slope', 'valley', 'lake', 'stone', 'coconino', 'white', 'nevada', 'rice', 'bay', 'hall', 'hamilton', 'patrick', 'dickey', 'clay', 'young', 'iron']"
1282_82,"['arizona', 'california']","['interior', 'carbonate', 'apache', 'pioneer', 'spring', 'madera', 'troy', 'diorite', 'mescal', 'granite', 'the rocks', 'dolomite', 'limestone', 'martin', 'orange', 'sills', 'silt', 'gray', 'light', 'peterson', 'lea', 'tuff', 'boundary', 'western', 'mountain', 'small', 'green', 'rock', 'fine', 'oak', 'superior', 'phoenix', 'trail', 'canyon', 'whitetail', 'deposit', 'phillips', 'dike', 'era', 'banks', 'cornwall', 'naco', 'sonora', 'tab', 'northeast', 'boulder', 'range', 'cambria', 'cliffs', 'blue', 'olive', 'black', 'may', 'mesa', 'forest', 'basalt', 'basin', 'sand', 'angle', 'true', 'central', 'lime', 'quartzite mountain', 'west', 'clay', 'grit', 'miami', 'ness', 'rich', 'weathers', 'deep', 'buffalo', 'white', 'beatty', 'flat', 'ray', 'crystal', 'gate', 'stone', 'barnes', 'mineral', 'line', 'hills', 'bluff', 'normal', 'contact', 'cream', 'between', 'turn', 'sandy', 'sands', 'mio', 'colo', 'strong', 'rincon', 'kearny', 'powers', 'smith', 'dorothy', 'barlow', 'theodore', 'sample', 'keith', 'walnut', 'needles', 'tea', 'field', 'reston', 'marvin', 'table rock', 'gravity', 'grayback', 'university', 'stanford', 'california', 'connor', 'globe', 'federal', 'branch']","['apache', 'madera', 'pinal', 'granite', 'limestone', 'martin', 'orange', 'gray', 'lea', 'boundary', 'brown', 'green', 'rock', 'canyon', 'phillips', 'boulder', 'slope', 'mesa', 'clay', 'miami', 'sierra', 'iron', 'rich', 'buffalo', 'white', 'ray', 'stone', 'barnes', 'mineral', 'kearny', 'smith', 'keith', 'pinal gila']"
1247_567,"['connecticut', 'massachusetts', 'washington']","['preston', 'crook', 'hill', 'roxbury', 'kent', 'interior', 'ring', 'west', 'church mountain', 'highlands', 'plateau', 'milford', 'western', 'miles', 'green', 'waterbury', 'central', 'housatonic', 'edge', 'bridgewater', 'rich', 'line', 'between', 'cliffs', 'garnet', 'black', 'gray', 'rock', 'nichols', 'pickett', 'kirby', 'painter', 'granite', 'white', 'fine', 'knobby', 'gates', 'hartland', 'range', 'church', 'rogers', 'belt', 'angle', 'the rocks', 'may', 'walker', 'church road', 'shell', 'curtis', 'bradley', 'glacier', 'hills', 'dant', 'strong', 'small', 'cross', 'tower', 'structure', 'boundary', 'limestone', 'flagg', 'woodbury', 'cliff', 'border', 'hart', 'land', 'rising', 'gregory', 'northeast', 'robinson', 'hoosac', 'agar', 'bodie', 'rice', 'bridge', 'reader', 'normal', 'marks', 'cline', 'lane', 'garnett', 'bronson', 'mineral', 'meta', 'mountain', 'tamarack', 'litchfield', 'park', 'center', 'street', 'ord', 'contact', 'dusty', 'unique', 'sills', 'content', 'berry', 'new milford', 'hodge', 'woodville', 'cameron', 'marble', 'haven', 'grassy', 'botsford', 'light', 'dome', 'magnet', 'stone', 'silver', 'burnham', 'elm', 'shep', 'carbonate', 'pierce', 'camp', 'crump', 'horn', 'prospect', 'stuart south', 'sanford', 'treat', 'field', 'newtown', 'spruce', 'washington', 'southbury', 'thomaston', 'low', 'strain', 'post', 'danbury', 'crystal', 'coin', 'ward', 'clay', 'the dip', 'turner', 'ross', 'york']","['crook', 'hill', 'kent', 'churchill', 'highlands', 'berkshire', 'green', 'rich', 'gray', 'rock', 'granite', 'white', 'walker', 'bradley', 'glacier', 'hand', 'cross', 'boundary', 'limestone', 'woodbury', 'gregory', 'rice', 'iron', 'lane', 'mineral', 'litchfield', 'park', 'bacon', 'cameron', 'slope', 'stone', 'pierce', 'washington', 'ward', 'clay', 'turner', 'ross', 'york']"
471_579,"['idaho', 'utah', 'montana', 'washington']","['wasatch', 'boundary', 'western', 'range', 'central', 'basin', 'cottonwood', 'stone', 'palmer', 'white', 'spring', 'deer', 'trail', 'tramway', 'silver', 'bonneville', 'angle', 'low', 'deposit', 'valley', 'beach', 'cone', 'douglas', 'gray', 'rock', 'light', 'dolomite', 'lime', 'mahogany mountain', 'baker', 'limestone', 'arthur', 'blue', 'max', 'gordon', 'cotton', 'west', 'canyon', 'contact', 'wood', 'miles', 'northeast', 'ault', 'slide', 'normal', 'willow', 'bridge', 'forest', 'gate', 'draper', 'canyon creek', 'interior', 'charleston', 'block', 'wall', 'walcott', 'mineral', 'black', 'ophir', 'newton', 'canyon spring', 'park', 'may', 'greer', 'tuff', 'carbonate', 'fitchville', 'butler', 'madison', 'early', 'weathers', 'manning', 'elder', 'marks', 'provo', 'spur', 'boulder', 'fauna', 'salmon', 'mountain', 'broad', 'structure', 'sharp', 'ward', 'north bend', 'small', 'phelps', 'south fork', 'dull', 'between', 'the rocks', 'cattle creek', 'quartzite mountain', 'alpine', 'divide', 'black canyon', 'fine', 'hale', 'weber', 'branch', 'locate', 'limestone canyon', 'heber', 'sage', 'uinta', 'timpanogos cave', 'sand', 'granite', 'jefferson', 'cambria', 'south range', 'helen', 'olive green', 'ranger', 'aspen grove', 'pine', 'dell', 'ely', 'morris', 'osage', 'dant', 'norwood', 'deep', 'junction', 'true', 'flat', 'reverse', 'land', 'preston', 'oolitic', 'cliffs', 'rich', 'boxelder', 'sandy', 'grit', 'line', 'lake', 'battle creek', 'emerald', 'way', 'dot', 'bend', 'cave canyon', 'power', 'glacier', 'orem', 'washington', 'petroleum', 'index', 'prospect', 'portal', 'gilbert', 'field']","['wasatch', 'boundary', 'idaho', 'utah', 'stone', 'white', 'bonneville', 'valley', 'douglas', 'gray', 'rock', 'baker', 'limestone', 'arthur', 'canyon', 'wood', 'mineral', 'newton', 'park', 'butler', 'madison', 'boulder', 'slope', 'sharp', 'ward', 'phelps', 'divide', 'hale', 'brown', 'iron', 'hand', 'kinney', 'uinta', 'crittenden', 'granite', 'jefferson', 'green', 'morris', 'osage', 'rich', 'lake', 'power', 'glacier', 'washington', 'petroleum']"
15666_598,"['nevada', 'california', 'washington']","['golconda', 'nevada', 'lake', 'spring', 'tungsten', 'humboldt', 'northeast', 'ralph', 'roberts', 'interior', 'sonoma', 'moses', 'range', 'west', 'antler', 'winnemucca', 'western', 'diorite', 'buffalo', 'mountain', 'limestone', 'cane', 'basalt', 'augusta', 'edna', 'grano', 'border', 'small', 'rochester', 'china', 'wheeler', 'max', 'doe', 'miles', 'preble', 'carbonate', 'osgood', 'merriam', 'fauna', 'manhattan', 'anderson', 'valmy', 'canyon', 'grant', 'hobbs', 'valley', 'banks', 'low', 'may', 'early', 'dent', 'silver', 'mineral', 'independence', 'harmony', 'elder', 'king creek', 'emigrant', 'pacific', 'gap', 'scott', 'battle canyon', 'way', 'stonehouse', 'knight', 'herrin', 'ellison', 'taylor', 'hill ranch', 'lander', 'dolomite', 'gray', 'contact', 'ness', 'panther', 'black', 'hale', 'lowe', 'penn', 'dixie', 'valle', 'canyon mountain', 'pillow', 'the rocks', 'argillite', 'thomas', 'normal', 'rock valley', 'wells', 'reese', 'hill', 'canyon lake', 'copper basin', 'stone', 'sand', 'fine', 'rock', 'kent', 'brooks spring', 'granger', 'williams', 'duncan', 'cooper', 'desert', 'james', 'cross', 'steele', 'basin', 'helen', 'rich', 'ames', 'spring creek', 'mount edna', 'china mountain', 'light', 'grit', 'lava', 'structure', 'mont', 'lead', 'progress', 'date', 'central', 'stibnite', 'galena', 'white', 'galena canyon', 'shiloh', 'king', 'between', 'jones', 'cottonwood', 'antimony', 'ina', 'pardee', 'ragan', 'trenton', 'antler peak', 'sandy', 'marine', 'leonard', 'avera', 'key', 'overly', 'era', 'bannock', 'valley mountain', 'avalanche', 'driscoll', 'trinity', 'butte', 'deposit', 'rose', 'lime', 'california', 'the v', 'pershing', 'line', 'willow', 'washington', 'ord', 'fossil', 'ross', 'peak mountain', 'block', 'burchard', 'seitz', 'timber', 'prospect', 'fred', 'limestone peak', 'plateau', 'zinc', 'upland', 'content', 'sharp', 'chase', 'dee', 'queen', 'ada', 'true']","['nevada', 'lake', 'humboldt', 'roberts', 'sonoma', 'buffalo', 'limestone', 'augusta', 'wheeler', 'preble', 'anderson', 'canyon', 'grant', 'valley', 'dent', 'mineral', 'independence', 'king', 'pacific', 'scott', 'taylor', 'hill', 'lander', 'gray', 'brown', 'hale', 'dixie', 'thomas', 'rock', 'wells', 'placer', 'iron', 'stone', 'kent', 'brooks', 'williams', 'cross', 'steele', 'rich', 'will', 'slope', 'hand', 'sierra', 'white', 'jones', 'piute', 'bannock', 'plumas', 'trinity', 'butte', 'kerr', 'pershing', 'washington', 'ross', 'sharp', 'chase', 'ada']"
15668_601,"['colorado', 'wisconsin', 'washington']","['miles', 'ouray', 'spencer', 'limestone', 'kirk', 'rico', 'rock', 'glacier', 'hermosa', 'irving', 'cross', 'howe', 'burbank', 'clay', 'horn', 'wilbur', 'structure', 'montrose', 'interior', 'mountain', 'broad', 'house', 'plateau', 'canyon', 'uncompahgre', 'valley', 'west', 'western', 'gray', 'leadville', 'contact', 'crystal', 'line', 'black', 'sandy', 'early', 'lead', 'forest', 'trail', 'boundary', 'baldy', 'lane', 'lake', 'northeast', 'cliffs', 'cutler', 'white', 'cliff', 'stone', 'carbonate', 'mancos', 'dakota', 'morrison', 'between', 'sharp', 'marks', 'carbona', 'basin', 'san juan', 'may', 'sills', 'dike', 'dexter', 'strong', 'border', 'silverton', 'miner', 'tuff', 'park', 'confluence', 'mineral', 'scenic', 'roads', 'sands', 'telluride', 'potosi', 'green', 'pony', 'desert', 'light', 'zero', 'lava', 'volcano', 'mather', 'whitehouse', 'atwood', 'cone', 'low', 'center', 'silver', 'cedar', 'hill', 'ignacio', 'meta', 'fossil', 'opal', 'content', 'date', 'zinc', 'lenore', 'gypsum', 'frost', 'sand', 'junction', 'plata', 'block', 'blowout', 'concord', 'central', 'small', 'field', 'cline', 'grano', 'colo', 'knobby', 'bone', 'fine', 'lime', 'speedwell', 'elkhorn', 'cascade', 'pool', 'penn', 'morris', 'slide', 'arch', 'diorite', 'rich', 'weathers', 'magma', 'goldman', 'normal', 'ernest', 'petroleum', 'corbett', 'elbert', 'argillite', 'portland', 'washington', 'jasper', 'gates', 'alpine', 'oak', 'wingate', 'trail creek', 'barclay', 'wells', 'olive', 'rison', 'range', 'wall', 'ness', 'overly', 'bend', 'true', 'weehawken']","['ouray', 'limestone', 'colorado', 'rock', 'glacier', 'cross', 'clay', 'montrose', 'canyon', 'valley', 'gray', 'boundary', 'lane', 'lake', 'white', 'stone', 'sharp', 'iron', 'san juan', 'miner', 'park', 'mineral', 'brown', 'green', 'cedar', 'hill', 'slope', 'placer', 'cascade', 'morris', 'rich', 'petroleum', 'elbert', 'washington', 'jasper', 'wells']"
2461_610,"['new jersey', 'delaware', 'pennsylvania', 'virginia', 'maryland', 'washington']","['columbus', 'cove', 'gray', 'weller', 'trenton', 'york', 'jersey', 'light', 'sand', 'allentown', 'fine', 'akin', 'olive', 'northeast', 'james', 'owens', 'taylor', 'border', 'hills', 'the dip', 'belt', 'browns', 'mills', 'sandy', 'edge', 'west', 'interior', 'crystal lake', 'continental', 'marine', 'atlantic', 'burlington', 'delaware', 'plain', 'basin', 'miles', 'raritan', 'woodbury', 'dant', 'contact', 'fauna', 'knapp', 'clay', 'wood', 'dix', 'chesterfield', 'bridge', 'wallace', 'rancocas', 'ima', 'gloucester', 'black', 'rock', 'deep', 'small', 'silt', 'marshalltown', 'salisbury', 'bascom', 'central', 'clark', 'laurel', 'western', 'sands', 'navesink', 'green', 'smoot', 'low', 'between', 'orange', 'white', 'range', 'stone', 'kirk', 'mansfield', 'bordentown', 'kirkwood', 'monmouth', 'ord', 'beach', 'eagle', 'sharp', 'berry', 'austin', 'flora', 'olive green', 'broad', 'holly', 'content', 'stephenson', 'rapid', 'early', 'limestone', 'highland', 'miner', 'may', 'lay', 'marshall', 'georgetown', 'egypt', 'wenona', 'ponderosa', 'richards', 'fossil', 'salem', 'ness', 'valley', 'likely', 'field', 'yorktown', 'florence', 'miller', 'virginia', 'back', 'pond', 'lake', 'high rock', 'howe', 'colo', 'weathers', 'tower', 'center', 'shell', 'progress', 'bristol', 'branch', 'tinton', 'ford', 'crystal', 'fox', 'church', 'andrews', 'tilton', 'ping', 'choptank', 'petroleum', 'dee', 'ray', 'pine', 'lane', 'ellis', 'walker', 'hanover', 'pool', 'lily', 'wilcox', 'johnson', 'chesapeake', 'goddard', 'chambers', 'mineral', 'cross', 'best', 'gem', 'pemberton', 'washington', 'lewistown', 'navarro', 'gravelly', 'mio', 'mitchell', 'ogden', 'mckee', 'weir', 'true', 'grays', 'midway', 'redbank', 'wilco', 'harlan', 'camden', 'separ', 'industry', 'philadelphia']","['gray', 'york', 'brown', 'taylor', 'mills', 'lake', 'burlington', 'delaware', 'woodbury', 'clay', 'wood', 'wallace', 'gloucester', 'rock', 'clark', 'laurel', 'green', 'orange', 'white', 'iron', 'stone', 'monmouth', 'eagle', 'sharp', 'austin', 'stephenson', 'cooke', 'limestone', 'highland', 'miner', 'marshall', 'salem', 'valley', 'miller', 'bristol', 'ford', 'yell', 'andrews', 'petroleum', 'ray', 'lane', 'ellis', 'walker', 'wilcox', 'johnson', 'chambers', 'mineral', 'cross', 'washington', 'navarro', 'mitchell', 'harlan', 'camden']"
2475_664,"['new mexico', 'washington']","['interior', 'valencia', 'canada', 'arch mesa', 'mexico', 'grant', 'eolian', 'sand', 'silt', 'boundary', 'herrera', 'mesa', 'alamo', 'fine', 'terra', 'orange', 'canyon', 'light', 'arroyo', 'bernalillo', 'northeast', 'mancos', 'gallup', 'gray', 'dakota', 'white', 'black', 'rock', 'westwater', 'morrison', 'limestone', 'stone', 'clay', 'rich', 'greer', 'green', 'sandy', 'basin', 'piedra', 'bluff', 'sands', 'contact', 'post', 'bend', 'mesita', 'true', 'washington', 'moquino', 'seboyeta', 'structure', 'arch', 'willard', 'laguna', 'index', 'reston', 'price']","['valencia', 'sandoval', 'mesa', 'grant', 'boundary', 'orange', 'brown', 'canyon', 'gray', 'white', 'rock', 'limestone', 'stone', 'clay', 'rich', 'green', 'yell', 'washington', 'price']"
