map_title,state,quadrangle,county
524_19,['wyoming'],"['summit', 'shell lake', 'lake', 'interior', 'johnson', 'horn', 'helen', 'park', 'wyoming', 'solitude', 'rock', 'trail', 'florence lake', 'golden', 'powell', 'canyon', 'soldier', 'adin', 'west', 'mather', 'boundary', 'narrows', 'blue', 'central', 'back', 'true', 'north lake', 'fred', 'barker', 'reston', 'millard', 'york', 'bighorn', 'university', 'oxford', 'amsterdam', 'branch', 'federal', 'denver']","['summit', 'lake', 'cloud', 'johnson', 'park', 'wyoming', 'rock', 'powell', 'canyon', 'boundary', 'bucks', 'millard', 'york', 'oxford']"
3121_23,"['ohio', 'california', 'washington']","['arroyo', 'levis', 'ohio', 'mendota', 'trail', 'davis', 'elkhorn', 'hondo', 'lane', 'harlan', 'derrick', 'whitney', 'coalinga', 'gray', 'blue', 'green', 'dickinson', 'bartow', 'francisco', 'pacific', 'casey', 'california', 'petroleum', 'index', 'best', 'bassett', 'spring', 'line', 'sulphur', 'washington', 'angle', 'interior', 'reston']","['ohio', 'davis', 'lane', 'harlan', 'gray', 'brown', 'green', 'dickinson', 'bartow', 'pacific', 'casey', 'petroleum', 'washington']"
1266_64,"['colorado', 'arizona', 'california']","['vidal', 'line', 'trail', 'park', 'parker', 'atchison', 'junction', 'topeka', 'santa', 'street', 'needles', 'holly', 'grommet', 'gould', 'yuma', 'colo', 'drain', 'fisher', 'blythe', 'riverside', 'day', 'stewart', 'california', 'wilson', 'jean', 'sand', 'valley', 'miles', 'range', 'lake', 'max', 'prospect', 'hall', 'poston', 'rice', 'west', 'valle', 'index', 'mesquite', 'lorado', 'patrick', 'white', 'dickey', 'carr', 'bishop', 'true', 'reston', 'young', 'denver', 'branch', 'center', 'edison', 'bouse', 'federal', 'early', 'ina', 'parker sw', 'interior']","['park', 'parker', 'atchison', 'yuma', 'fisher', 'mohave', 'riverside', 'colorado', 'day', 'stewart', 'wilson', 'valley', 'lake', 'bay', 'hall', 'rice', 'patrick', 'white', 'dickey', 'young']"
1282_82,"['arizona', 'california']","['interior', 'carbonate', 'apache', 'pioneer', 'spring', 'madera', 'troy', 'diorite', 'mescal', 'granite', 'the rocks', 'dolomite', 'limestone', 'martin', 'orange', 'sills', 'silt', 'gray', 'fine', 'oak', 'superior', 'phoenix', 'trail', 'canyon', 'mountain', 'whitetail', 'deposit', 'phillips', 'dike', 'era', 'banks', 'small', 'cornwall', 'naco', 'sonora', 'black', 'blue', 'may', 'mesa', 'forest', 'range', 'basalt', 'tuff', 'basin', 'sand', 'angle', 'true', 'grit', 'rock', 'deep', 'buffalo', 'white', 'beatty', 'flat', 'western', 'peterson', 'ray', 'light', 'boundary', 'rich', 'mineral', 'line', 'hills', 'bluff', 'normal', 'central', 'contact', 'west', 'turn', 'stone', 'sandy', 'barnes', 'sands', 'lime', 'rincon', 'kearny', 'powers', 'cliffs', 'smith', 'dorothy', 'barlow', 'walnut', 'field', 'reston', 'marvin', 'table rock', 'theodore', 'keith', 'gravity', 'grayback', 'university', 'stanford', 'california', 'connor', 'globe', 'northeast', 'federal', 'branch']","['apache', 'madera', 'pinal', 'granite', 'limestone', 'martin', 'orange', 'gray', 'canyon', 'phillips', 'brown', 'mesa', 'rock', 'buffalo', 'white', 'ray', 'boundary', 'rich', 'slope', 'mineral', 'iron', 'stone', 'barnes', 'kearny', 'smith', 'keith', 'pinal gila']"
1247_567,"['connecticut', 'massachusetts', 'washington']","['preston', 'crook', 'hill', 'roxbury', 'kent', 'interior', 'ring', 'west', 'church mountain', 'highlands', 'plateau', 'milford', 'western', 'miles', 'green', 'waterbury', 'central', 'housatonic', 'edge', 'bridgewater', 'rich', 'line', 'between', 'cliffs', 'garnet', 'black', 'gray', 'rock', 'nichols', 'pickett', 'kirby', 'painter', 'knobby', 'gates', 'hartland', 'range', 'church', 'granite', 'rogers', 'belt', 'angle', 'the rocks', 'may', 'walker', 'church road', 'shell', 'curtis', 'bradley', 'glacier', 'hills', 'dant', 'strong', 'small', 'cross', 'white', 'tower', 'structure', 'boundary', 'limestone', 'flagg', 'woodbury', 'cliff', 'border', 'hart', 'land', 'rising', 'gregory', 'northeast', 'robinson', 'hoosac', 'agar', 'bodie', 'rice', 'bridge', 'reader', 'normal', 'marks', 'cline', 'lane', 'garnett', 'fine', 'bronson', 'mineral', 'meta', 'mountain', 'tamarack', 'litchfield', 'park', 'center', 'street', 'ord', 'dusty', 'unique', 'sills', 'content', 'berry', 'new milford', 'hodge', 'woodville', 'cameron', 'marble', 'haven', 'grassy', 'botsford', 'light', 'dome', 'magnet', 'stone', 'silver', 'burnham', 'elm', 'shep', 'carbonate', 'pierce', 'camp', 'contact', 'horn', 'prospect', 'stuart south', 'sanford', 'treat', 'field', 'newtown', 'spruce', 'washington', 'southbury', 'thomaston', 'low', 'strain', 'post', 'danbury', 'crystal', 'coin', 'ward', 'clay', 'the dip', 'turner', 'ross', 'york']","['crook', 'hill', 'kent', 'churchill', 'highlands', 'berkshire', 'green', 'rich', 'gray', 'rock', 'granite', 'walker', 'bradley', 'glacier', 'hand', 'cross', 'white', 'boundary', 'limestone', 'woodbury', 'gregory', 'rice', 'iron', 'lane', 'mineral', 'litchfield', 'park', 'bacon', 'cameron', 'slope', 'stone', 'pierce', 'washington', 'ward', 'clay', 'turner', 'ross', 'york']"
471_579,"['idaho', 'utah', 'montana', 'washington']","['wasatch', 'boundary', 'western', 'range', 'central', 'basin', 'cottonwood', 'stone', 'palmer', 'white', 'spring', 'deer', 'trail', 'tramway', 'silver', 'douglas', 'gray', 'rock', 'light', 'dolomite', 'lime', 'mahogany mountain', 'baker', 'limestone', 'arthur', 'blue', 'max', 'gordon', 'cotton', 'west', 'canyon', 'contact', 'wood', 'miles', 'northeast', 'ault', 'slide', 'normal', 'willow', 'bridge', 'forest', 'gate', 'draper', 'canyon creek', 'interior', 'charleston', 'block', 'wall', 'walcott', 'mineral', 'black', 'ophir', 'newton', 'canyon spring', 'carbonate', 'fitchville', 'butler', 'madison', 'may', 'early', 'weathers', 'manning', 'elder', 'marks', 'provo', 'spur', 'low', 'valley', 'boulder', 'fauna', 'salmon', 'mountain', 'broad', 'structure', 'sharp', 'ward', 'north bend', 'deposit', 'small', 'phelps', 'south fork', 'dull', 'between', 'the rocks', 'cattle creek', 'quartzite mountain', 'alpine', 'divide', 'branch', 'locate', 'limestone canyon', 'weber', 'heber', 'sage', 'uinta', 'timpanogos cave', 'sand', 'granite', 'jefferson', 'cambria', 'south range', 'helen', 'olive green', 'ranger', 'aspen grove', 'pine', 'dell', 'morris', 'osage', 'park', 'dant', 'norwood', 'deep', 'junction', 'true', 'flat', 'reverse', 'land', 'preston', 'cliffs', 'rich', 'boxelder', 'sandy', 'line', 'lake', 'battle creek', 'emerald', 'way', 'bend', 'bonneville', 'cave canyon', 'power', 'glacier', 'orem', 'washington', 'petroleum', 'index', 'gilbert', 'field']","['wasatch', 'boundary', 'idaho', 'utah', 'stone', 'white', 'douglas', 'gray', 'rock', 'baker', 'limestone', 'arthur', 'canyon', 'wood', 'mineral', 'newton', 'butler', 'madison', 'valley', 'boulder', 'slope', 'sharp', 'ward', 'phelps', 'divide', 'brown', 'iron', 'hand', 'kinney', 'uinta', 'crittenden', 'granite', 'jefferson', 'green', 'morris', 'osage', 'park', 'rich', 'lake', 'bonneville', 'power', 'glacier', 'washington', 'petroleum']"
15666_598,"['nevada', 'california', 'washington']","['golconda', 'nevada', 'humboldt', 'ralph', 'roberts', 'interior', 'sonoma', 'moses', 'range', 'west', 'antler', 'winnemucca', 'western', 'rochester', 'china', 'wheeler', 'mountain', 'max', 'doe', 'miles', 'preble', 'carbonate', 'osgood', 'merriam', 'fauna', 'manhattan', 'anderson', 'valmy', 'limestone', 'canyon', 'grant', 'hobbs', 'valley', 'banks', 'low', 'edna', 'may', 'early', 'dent', 'silver', 'mineral', 'independence', 'harmony', 'elder', 'small', 'king creek', 'emigrant', 'pacific', 'gap', 'scott', 'battle canyon', 'way', 'stonehouse', 'knight', 'herrin', 'ellison', 'taylor', 'hill ranch', 'lander', 'lowe', 'penn', 'dixie', 'valle', 'northeast', 'canyon mountain', 'pillow', 'the rocks', 'argillite', 'thomas', 'normal', 'buffalo', 'lake', 'border', 'rock valley', 'wells', 'reese', 'hill', 'black', 'canyon lake', 'copper basin', 'stone', 'sand', 'fine', 'rock', 'kent', 'brooks spring', 'granger', 'williams', 'duncan', 'cooper', 'desert', 'james', 'cross', 'steele', 'basin', 'helen', 'rich', 'ames', 'spring creek', 'structure', 'augusta', 'dolomite', 'mont', 'grit', 'lead', 'progress', 'basalt', 'date', 'central', 'stibnite', 'galena', 'white', 'galena canyon', 'shiloh', 'king', 'between', 'jones', 'cottonwood', 'antimony', 'ina', 'pardee', 'ragan', 'trenton', 'spring', 'leonard', 'cane', 'marine', 'avera', 'key', 'overly', 'lava', 'era', 'bannock', 'tungsten', 'valley mountain', 'china mountain', 'avalanche', 'driscoll', 'trinity', 'butte', 'contact', 'deposit', 'rose', 'california', 'the v', 'pershing', 'line', 'willow', 'washington', 'fossil', 'peak mountain', 'block', 'ness', 'burchard', 'seitz', 'timber', 'antler peak', 'limestone peak', 'plateau', 'lime', 'zinc', 'upland', 'content', 'sharp', 'chase', 'dee', 'queen', 'ada', 'true']","['nevada', 'humboldt', 'roberts', 'sonoma', 'wheeler', 'preble', 'anderson', 'limestone', 'canyon', 'grant', 'valley', 'dent', 'mineral', 'independence', 'king', 'pacific', 'scott', 'taylor', 'hill', 'lander', 'dixie', 'thomas', 'buffalo', 'lake', 'rock', 'wells', 'placer', 'iron', 'stone', 'kent', 'brooks', 'williams', 'cross', 'steele', 'rich', 'will', 'augusta', 'hand', 'sierra', 'white', 'jones', 'slope', 'piute', 'plumas', 'trinity', 'butte', 'kerr', 'pershing', 'washington', 'sharp', 'chase', 'ada']"
15668_601,"['colorado', 'wisconsin', 'washington']","['miles', 'ouray', 'spencer', 'limestone', 'kirk', 'rico', 'hermosa', 'irving', 'cross', 'howe', 'burbank', 'clay', 'horn', 'wilbur', 'structure', 'montrose', 'interior', 'mountain', 'broad', 'house', 'plateau', 'canyon', 'uncompahgre', 'valley', 'west', 'western', 'gray', 'leadville', 'contact', 'crystal', 'line', 'black', 'sandy', 'early', 'lead', 'forest', 'trail', 'boundary', 'baldy', 'northeast', 'cliffs', 'cutler', 'white', 'cliff', 'stone', 'carbonate', 'mancos', 'dakota', 'morrison', 'between', 'sharp', 'marks', 'carbona', 'basin', 'rock', 'san juan', 'may', 'lake', 'sills', 'dike', 'dexter', 'strong', 'border', 'silverton', 'miner', 'tuff', 'park', 'confluence', 'mineral', 'scenic', 'roads', 'sands', 'green', 'pony', 'desert', 'light', 'zero', 'lava', 'volcano', 'mather', 'whitehouse', 'atwood', 'cone', 'low', 'center', 'silver', 'cedar', 'hill', 'ignacio', 'meta', 'fossil', 'telluride', 'opal', 'content', 'date', 'zinc', 'lenore', 'gypsum', 'frost', 'sand', 'junction', 'plata', 'block', 'blowout', 'concord', 'potosi', 'central', 'small', 'field', 'cline', 'grano', 'colo', 'knobby', 'bone', 'fine', 'lime', 'speedwell', 'elkhorn', 'cascade', 'pool', 'penn', 'morris', 'slide', 'arch', 'diorite', 'rich', 'weathers', 'magma', 'goldman', 'normal', 'ernest', 'petroleum', 'corbett', 'elbert', 'argillite', 'portland', 'washington', 'jasper', 'gates', 'alpine', 'oak', 'wingate', 'trail creek', 'barclay', 'wells', 'olive', 'rison', 'range', 'wall', 'ness', 'overly', 'bend', 'true', 'weehawken']","['ouray', 'limestone', 'colorado', 'cross', 'clay', 'canyon', 'valley', 'gray', 'boundary', 'white', 'stone', 'sharp', 'iron', 'rock', 'san juan', 'lake', 'miner', 'park', 'mineral', 'brown', 'green', 'cedar', 'hill', 'slope', 'placer', 'cascade', 'morris', 'rich', 'petroleum', 'elbert', 'washington', 'jasper', 'wells']"
2461_610,"['new jersey', 'delaware', 'pennsylvania', 'virginia', 'maryland', 'washington']","['columbus', 'cove', 'gray', 'weller', 'trenton', 'york', 'jersey', 'allentown', 'fine', 'akin', 'olive', 'northeast', 'james', 'owens', 'taylor', 'border', 'hills', 'the dip', 'belt', 'browns', 'sand', 'mills', 'sandy', 'edge', 'west', 'interior', 'crystal lake', 'continental', 'marine', 'atlantic', 'burlington', 'delaware', 'plain', 'basin', 'miles', 'raritan', 'woodbury', 'dant', 'contact', 'fauna', 'knapp', 'clay', 'wood', 'dix', 'chesterfield', 'bridge', 'wallace', 'gloucester', 'black', 'rock', 'deep', 'small', 'silt', 'marshalltown', 'salisbury', 'bascom', 'central', 'clark', 'laurel', 'western', 'sands', 'light', 'navesink', 'green', 'smoot', 'low', 'between', 'orange', 'white', 'range', 'stone', 'kirk', 'mansfield', 'bordentown', 'kirkwood', 'monmouth', 'ord', 'beach', 'eagle', 'sharp', 'berry', 'austin', 'flora', 'olive green', 'broad', 'holly', 'content', 'stephenson', 'rapid', 'early', 'limestone', 'highland', 'rancocas', 'miner', 'may', 'lay', 'marshall', 'georgetown', 'egypt', 'ponderosa', 'richards', 'fossil', 'salem', 'ness', 'valley', 'likely', 'field', 'yorktown', 'florence', 'miller', 'virginia', 'back', 'pond', 'lake', 'high rock', 'howe', 'colo', 'weathers', 'tower', 'center', 'shell', 'progress', 'bristol', 'branch', 'tinton', 'ford', 'crystal', 'fox', 'church', 'andrews', 'tilton', 'ping', 'choptank', 'petroleum', 'dee', 'ray', 'pine', 'lane', 'ellis', 'walker', 'hanover', 'pool', 'lily', 'wilcox', 'johnson', 'chesapeake', 'goddard', 'chambers', 'mineral', 'cross', 'best', 'gem', 'pemberton', 'washington', 'lewistown', 'navarro', 'gravelly', 'mio', 'mitchell', 'ogden', 'mckee', 'weir', 'true', 'grays', 'midway', 'redbank', 'wilco', 'harlan', 'camden', 'separ', 'industry', 'philadelphia']","['gray', 'york', 'brown', 'taylor', 'mills', 'lake', 'burlington', 'delaware', 'woodbury', 'clay', 'wood', 'wallace', 'gloucester', 'rock', 'clark', 'laurel', 'green', 'orange', 'white', 'iron', 'stone', 'monmouth', 'eagle', 'sharp', 'austin', 'stephenson', 'cooke', 'limestone', 'highland', 'miner', 'marshall', 'salem', 'valley', 'miller', 'bristol', 'ford', 'yell', 'andrews', 'petroleum', 'ray', 'lane', 'ellis', 'walker', 'wilcox', 'johnson', 'chambers', 'mineral', 'cross', 'washington', 'navarro', 'mitchell', 'harlan', 'camden']"
2475_664,"['new mexico', 'washington']","['interior', 'valencia', 'canada', 'arch mesa', 'mexico', 'grant', 'boundary', 'herrera', 'mesa', 'alamo', 'arroyo', 'bernalillo', 'rock', 'piedra', 'mesita', 'true', 'washington', 'moquino', 'seboyeta', 'arch', 'willard', 'laguna', 'index', 'reston', 'price']","['valencia', 'sandoval', 'mesa', 'grant', 'boundary', 'rock', 'washington', 'price']"
