map_title,state,quadrangle,county
524_19,['wyoming'],"['shell', 'lake', 'interior', 'helen', 'park', 'wyoming', 'solitude', 'may', 'rock', 'sand', 'silt', 'pinedale', 'black', 'elk', 'dike', 'bly', 'gray', 'art', 'granite', 'small', 'powell', 'diorite', 'light', 'sigma', 'mclain', 'barker', 'contact', 'narrows', 'blue', 'central', 'back', 'true', 'north lake', 'fred', 'johnson', 'reston', 'horn', 'millard', 'york', 'bighorn', 'university', 'oxford', 'amsterdam', 'branch', 'federal', 'denver']","['lake', 'park', 'rock', 'slope', 'elk', 'gray', 'granite', 'johnson', 'millard', 'york', 'oxford']"
3121_23,['california'],"['mendota', 'fossil', 'sandy', 'blue', 'sand', 'santa', 'tulare', 'silt', 'gray', 'sands', 'marine', 'stone', 'panoche', 'hondo', 'arroyo', 'light', 'ray', 'contact', 'dickinson', 'francisco', 'pacific', 'casey', 'california', 'petroleum', 'index', 'best', 'bassett', 'line', 'angle', 'reston']","['brown', 'tulare', 'gray', 'white', 'stone', 'ray', 'dickinson', 'bartow', 'petroleum']"
1266_64,"['colorado', 'arizona', 'nevada', 'california']","['vidal', 'parker', 'vidal junction', 'needles', 'line', 'fisher', 'sand', 'day', 'west', 'separ', 'may', 'limestone', 'granite', 'rock', 'gray', 'riverside', 'boundary', 'marble', 'wilson', 'silt', 'orange', 'desert', 'lowe', 'light', 'dolomite', 'ness', 'valley', 'miles', 'range', 'lake', 'carbonate', 'junction', 'stone', 'cliff', 'nevada', 'rice', 'sandy', 'plateau', 'index', 'early', 'dull', 'mountain', 'hamilton', 'gypsum', 'poston', 'dickey', 'moon', 'carr', 'bouse', 'mesquite', 'mounds', 'altitude', 'plain', 'contact', 'low', 'angle', 'proctor', 'bishop', 'back', 'west river', 'clay', 'fossil', 'block', 'wing', 'axial', 'true', 'blythe', 'reston', 'young', 'tuff', 'black', 'small', 'lava', 'california', 'denver', 'branch', 'center', 'edison', 'federal', 'ina', 'parker sw', 'interior']","['parker', 'fisher', 'colorado', 'limestone', 'granite', 'rock', 'gray', 'riverside', 'brown', 'wilson', 'orange', 'slope', 'valley', 'lake', 'stone', 'coconino', 'white', 'nevada', 'rice', 'hamilton', 'dickey', 'clay', 'young', 'iron', 'mohave']"
1282_82,"['arizona', 'california']","['interior', 'carbonate', 'apache', 'pioneer', 'spring', 'madera', 'troy', 'diorite', 'mescal', 'granite', 'the rocks', 'dolomite', 'limestone', 'martin', 'orange', 'silt', 'gray', 'light', 'peterson', 'lea', 'tuff', 'boundary', 'western', 'mountain', 'small', 'green', 'rock', 'superior', 'phoenix', 'whitetail', 'phillips', 'dike', 'era', 'banks', 'cornwall', 'naco', 'sonora', 'tab', 'northeast', 'boulder', 'range', 'cambria', 'cliffs', 'blue', 'olive', 'black', 'may', 'basalt', 'basin', 'sand', 'angle', 'true', 'central', 'lime', 'quartzite mountain', 'west', 'clay', 'grit', 'miami', 'ness', 'rich', 'weathers', 'deep', 'buffalo', 'ray', 'crystal', 'gate', 'stone', 'barnes', 'bluff', 'normal', 'contact', 'mesa', 'cream', 'between', 'sandy', 'sands', 'mio', 'colo', 'strong', 'powers', 'smith', 'dorothy', 'barlow', 'mineral', 'sample', 'keith', 'needles', 'field', 'reston', 'table rock', 'gravity', 'kearny', 'grayback', 'university', 'stanford', 'california', 'connor', 'globe', 'federal', 'branch']","['apache', 'madera', 'pinal', 'granite', 'limestone', 'martin', 'orange', 'gray', 'lea', 'brown', 'green', 'rock', 'phillips', 'boulder', 'slope', 'clay', 'miami', 'sierra', 'iron', 'rich', 'buffalo', 'ray', 'white', 'stone', 'barnes', 'mesa', 'smith', 'mineral', 'keith', 'pinal gila']"
1247_567,"['connecticut', 'massachusetts', 'washington']","['roxbury', 'kent', 'interior', 'mountain', 'highlands', 'plateau', 'milford', 'western', 'miles', 'west', 'green', 'waterbury', 'central', 'housatonic', 'edge', 'bridgewater', 'rich', 'line', 'between', 'cliffs', 'garnet', 'black', 'gray', 'rock', 'granite', 'hill', 'knobby', 'gates', 'hartland', 'range', 'church', 'rogers', 'belt', 'angle', 'the rocks', 'may', 'bradley', 'glacier', 'hills', 'dant', 'strong', 'small', 'cross', 'preston', 'structure', 'boundary', 'limestone', 'flagg', 'woodbury', 'cliff', 'border', 'hart', 'land', 'rising', 'gregory', 'northeast', 'robinson', 'hoosac', 'bodie', 'rice', 'bridge', 'reader', 'normal', 'marks', 'cline', 'lane', 'garnett', 'bronson', 'mineral', 'meta', 'litchfield', 'contact', 'dusty', 'unique', 'content', 'berry', 'woodville', 'cameron', 'marble', 'haven', 'botsford', 'light', 'dome', 'magnet', 'street', 'stone', 'silver', 'carbonate', 'crump', 'horn', 'prospect', 'shell', 'field', 'tower', 'southbury', 'washington', 'thomaston', 'low', 'strain', 'post', 'danbury', 'crystal', 'coin', 'ward', 'clay', 'the dip', 'turner', 'ross', 'york']","['kent', 'berkshire', 'green', 'rich', 'gray', 'rock', 'granite', 'hill', 'white', 'bradley', 'glacier', 'cross', 'limestone', 'woodbury', 'rice', 'iron', 'lane', 'mineral', 'litchfield', 'cameron', 'slope', 'stone', 'washington', 'ward', 'clay', 'turner', 'ross', 'york']"
471_579,"['idaho', 'utah', 'montana', 'washington']","['wasatch', 'boundary', 'western', 'range', 'central', 'basin', 'cottonwood', 'stone', 'palmer', 'bonneville', 'angle', 'low', 'valley', 'beach', 'cone', 'douglas', 'gray', 'rock', 'light', 'dolomite', 'lime', 'mahogany mountain', 'baker', 'limestone', 'arthur', 'blue', 'max', 'gordon', 'cotton', 'west', 'canyon', 'contact', 'wood', 'miles', 'northeast', 'ault', 'slide', 'deer', 'normal', 'willow', 'bridge', 'forest', 'gate', 'draper', 'interior', 'charleston', 'block', 'wall', 'walcott', 'mineral', 'black', 'ophir', 'park', 'may', 'greer', 'tuff', 'carbonate', 'fitchville', 'butler', 'madison', 'early', 'weathers', 'manning', 'elder', 'marks', 'provo', 'spur', 'boulder', 'fauna', 'salmon', 'mountain', 'broad', 'structure', 'sharp', 'ward', 'north bend', 'small', 'spring', 'south fork', 'dull', 'between', 'the rocks', 'cattle creek', 'quartzite mountain', 'alpine', 'divide', 'black canyon', 'hale', 'weber', 'branch', 'locate', 'limestone canyon', 'heber', 'sage', 'uinta', 'timpanogos cave', 'sand', 'granite', 'jefferson', 'cambria', 'south range', 'helen', 'olive green', 'ely', 'morris', 'osage', 'dant', 'norwood', 'deep', 'junction', 'true', 'flat', 'reverse', 'land', 'preston', 'oolitic', 'cliffs', 'rich', 'boxelder', 'sandy', 'grit', 'line', 'dot', 'bend', 'lake', 'cave canyon', 'power', 'glacier', 'washington', 'petroleum', 'index', 'prospect', 'portal', 'gilbert', 'field']","['wasatch', 'idaho', 'utah', 'stone', 'bonneville', 'valley', 'douglas', 'gray', 'rock', 'baker', 'limestone', 'arthur', 'canyon', 'white', 'wood', 'mineral', 'park', 'butler', 'madison', 'boulder', 'slope', 'ward', 'divide', 'hale', 'brown', 'iron', 'kinney', 'uinta', 'crittenden', 'granite', 'jefferson', 'green', 'morris', 'osage', 'rich', 'lake', 'power', 'glacier', 'washington', 'petroleum']"
15666_598,"['nevada', 'california']","['golconda', 'nevada', 'lake', 'spring', 'tungsten', 'humboldt', 'northeast', 'ralph', 'roberts', 'interior', 'sonoma', 'moses', 'range', 'west', 'antler', 'winnemucca', 'diorite', 'buffalo', 'mountain', 'limestone', 'cane', 'basalt', 'augusta', 'edna', 'grano', 'border', 'small', 'rochester', 'china', 'wheeler', 'max', 'doe', 'miles', 'preble', 'carbonate', 'osgood', 'merriam', 'fauna', 'manhattan', 'anderson', 'valmy', 'western', 'canyon', 'grant', 'hobbs', 'valley', 'banks', 'low', 'may', 'early', 'dent', 'silver', 'mineral', 'independence', 'harmony', 'elder', 'king creek', 'osgood mountains', 'scott', 'battle canyon', 'way', 'dolomite', 'gray', 'contact', 'ness', 'panther', 'black', 'hale', 'lowe', 'penn', 'dixie', 'valle', 'canyon mountain', 'pillow', 'the rocks', 'argillite', 'thomas', 'normal', 'rock valley', 'wells', 'reese', 'hill', 'canyon lake', 'copper basin', 'stone', 'sand', 'rock', 'granger', 'williams', 'duncan', 'cooper', 'desert', 'james', 'cross', 'steele', 'basin', 'helen', 'rich', 'mount edna', 'china mountain', 'light', 'grit', 'lava', 'structure', 'mont', 'progress', 'date', 'central', 'stibnite', 'galena', 'galena canyon', 'shiloh', 'king', 'between', 'jones', 'cottonwood', 'antimony', 'ina', 'pardee', 'antler peak', 'sandy', 'marine', 'leonard', 'avera', 'key', 'overly', 'era', 'bannock', 'valley mountain', 'avalanche', 'driscoll', 'trinity', 'butte', 'rose', 'lime', 'california', 'the v', 'line', 'ord', 'fossil', 'emigrant', 'ross', 'peak mountain', 'block', 'burchard', 'seitz', 'timber', 'prospect', 'fred', 'limestone peak', 'plateau', 'zinc', 'upland', 'content', 'sharp', 'chase', 'dee', 'queen', 'ada', 'true']","['nevada', 'lake', 'humboldt', 'roberts', 'buffalo', 'limestone', 'augusta', 'wheeler', 'anderson', 'canyon', 'grant', 'valley', 'dent', 'mineral', 'independence', 'king', 'scott', 'gray', 'brown', 'hale', 'thomas', 'rock', 'hill', 'placer', 'iron', 'stone', 'williams', 'cross', 'steele', 'rich', 'will', 'slope', 'sierra', 'white', 'jones', 'bannock', 'plumas', 'trinity', 'butte', 'kerr', 'ross', 'chase', 'ada']"
15668_601,"['colorado', 'wisconsin', 'washington']","['miles', 'ouray', 'spencer', 'limestone', 'kirk', 'rico', 'rock', 'glacier', 'hermosa', 'irving', 'cross', 'howe', 'burbank', 'clay', 'horn', 'wilbur', 'structure', 'montrose', 'interior', 'mountain', 'broad', 'house', 'plateau', 'canyon', 'uncompahgre', 'valley', 'west', 'western', 'gray', 'leadville', 'contact', 'crystal', 'line', 'black', 'sandy', 'early', 'lane', 'lake', 'northeast', 'cliffs', 'cutler', 'cliff', 'stone', 'carbonate', 'mancos', 'dakota', 'morrison', 'between', 'sharp', 'marks', 'carbona', 'basin', 'san juan', 'may', 'dike', 'dexter', 'strong', 'border', 'silverton', 'miner', 'tuff', 'confluence', 'mineral', 'park', 'scenic', 'roads', 'sands', 'telluride', 'potosi', 'green', 'pony', 'desert', 'light', 'zero', 'lava', 'volcano', 'mather', 'whitehouse', 'atwood', 'cone', 'low', 'center', 'silver', 'ignacio', 'meta', 'fossil', 'opal', 'content', 'date', 'gypsum', 'frost', 'sand', 'junction', 'plata', 'block', 'blowout', 'concord', 'central', 'small', 'field', 'cline', 'grano', 'colo', 'knobby', 'bone', 'lime', 'penn', 'morris', 'slide', 'arch', 'diorite', 'rich', 'weathers', 'magma', 'goldman', 'normal', 'ernest', 'petroleum', 'elbert', 'argillite', 'washington', 'jasper', 'gates', 'wingate', 'barclay', 'wells', 'boundary', 'olive', 'rison', 'range', 'wall', 'ness', 'overly', 'bend', 'true', 'portland', 'cascade']","['ouray', 'limestone', 'colorado', 'rock', 'glacier', 'cross', 'clay', 'montrose', 'canyon', 'valley', 'gray', 'lane', 'lake', 'white', 'stone', 'iron', 'san juan', 'mineral', 'park', 'brown', 'green', 'slope', 'placer', 'morris', 'rich', 'petroleum', 'elbert', 'washington', 'jasper', 'cascade']"
2461_610,"['new jersey', 'delaware', 'pennsylvania', 'virginia', 'maryland']","['columbus', 'cove', 'gray', 'weller', 'jersey', 'light', 'sand', 'allentown', 'akin', 'olive', 'northeast', 'james', 'owens', 'taylor', 'border', 'hills', 'the dip', 'belt', 'browns', 'mills', 'sandy', 'edge', 'trenton', 'west', 'interior', 'continental', 'marine', 'atlantic', 'burlington', 'delaware', 'plain', 'basin', 'miles', 'raritan', 'woodbury', 'dant', 'contact', 'fauna', 'knapp', 'clay', 'wood', 'rancocas', 'ima', 'gloucester', 'black', 'rock', 'deep', 'small', 'silt', 'marshalltown', 'salisbury', 'bascom', 'central', 'clark', 'laurel', 'western', 'sands', 'navesink', 'green', 'smoot', 'low', 'between', 'orange', 'range', 'stone', 'kirk', 'kirkwood', 'monmouth', 'ord', 'beach', 'eagle', 'sharp', 'berry', 'austin', 'flora', 'olive green', 'broad', 'holly', 'content', 'stephenson', 'early', 'limestone', 'highland', 'dix', 'miner', 'may', 'lay', 'marshall', 'wenona', 'ponderosa', 'richards', 'fossil', 'salem', 'georgetown', 'ness', 'valley', 'likely', 'field', 'yorktown', 'florence', 'miller', 'virginia', 'back', 'high rock', 'howe', 'colo', 'weathers', 'center', 'shell', 'progress', 'tinton', 'ford', 'mansfield', 'crystal', 'lake', 'york', 'fox', 'ping', 'choptank', 'petroleum', 'dee', 'ray', 'lily', 'wilcox', 'johnson', 'chesapeake', 'goddard', 'mineral', 'cross', 'best', 'navarro', 'gravelly', 'mio', 'mitchell', 'ogden', 'mckee', 'weir', 'true', 'grays', 'bridge', 'wallace', 'chesterfield', 'walker', 'midway', 'redbank', 'wilco', 'harlan', 'camden', 'separ', 'industry', 'philadelphia', 'hanover']","['gray', 'brown', 'taylor', 'burlington', 'delaware', 'woodbury', 'clay', 'wood', 'gloucester', 'rock', 'clark', 'laurel', 'green', 'orange', 'white', 'iron', 'stone', 'eagle', 'stephenson', 'cooke', 'limestone', 'highland', 'marshall', 'salem', 'valley', 'ford', 'lake', 'york', 'petroleum', 'ray', 'johnson', 'mineral', 'cross', 'navarro', 'mitchell', 'wallace', 'walker', 'harlan']"
2475_664,['new mexico'],"['interior', 'arch mesa', 'mexico', 'eolian', 'sand', 'silt', 'terra', 'orange', 'canyon', 'light', 'northeast', 'mancos', 'gallup', 'gray', 'dakota', 'black', 'westwater', 'morrison', 'limestone', 'stone', 'clay', 'rich', 'greer', 'green', 'sandy', 'basin', 'bluff', 'sands', 'contact', 'post', 'bend', 'mesita', 'true', 'moquino', 'seboyeta', 'structure', 'mesa', 'arch', 'willard', 'laguna', 'index', 'reston', 'price']","['mesa', 'orange', 'brown', 'canyon', 'gray', 'white', 'limestone', 'stone', 'clay', 'rich', 'green', 'price']"
